title,release_date_meta,year,rating_metacritic
pokemon 4 the movie,2002-10-11,2002,25
majestic,2001-12-21,2001,27
dont say a word,2001-09-28,2001,38
fools rush in,1997-02-14,1997,37
somewhere in time,1980-10-03,1980,29
skulls,2000-03-31,2000,24
daltry calhoun,2005-09-23,2005,30
gun shy,2000-02-04,2000,42
sleepwalking,2008-03-14,2008,40
hellbound hellraiser ii,1988-12-23,1988,41
even cowgirls get the blues,1994-05-24,1994,28
pink floyd the wall,1982-08-06,1982,47
family tree,2011-08-26,2011,24
underworld,2003-09-19,2003,42
orphan,2009-07-24,2009,42
bad boys,1995-04-07,1995,41
running scared,2006-02-24,2006,41
spirit,2008-12-25,2008,30
hostage,2005-03-11,2005,44
walk to remember,2002-01-25,2002,35
polar,2019-01-25,2019,19
family man,2000-12-22,2000,42
i love you beth cooper,2009-07-10,2009,32
bully,2001-07-13,2001,45
hollywood homicide,2003-06-13,2003,47
bad company,2002-06-07,2002,37
pokemon the movie 2000,2000-07-21,2000,28
last knights,2015-04-03,2015,27
in out,1997-09-19,1997,70
brothers solomon,2007-09-07,2007,32
true legend,2011-05-13,2011,62
other side of heaven,2002-04-12,2002,38
cobra,1986-05-23,1986,25
whatever it takes,2000-03-24,2000,20
no such thing,2002-03-29,2002,36
drowning mona,2000-03-03,2000,25
jacket,2005-03-04,2005,44
freddy got fingered,2001-04-20,2001,13
mallrats,1995-10-20,1995,41
pay it forward,2000-10-20,2000,40
wicker park,2004-09-03,2004,40
outsiders,1983-03-25,1983,41
ghosts of girlfriends past,2009-05-01,2009,34
bulletproof monk,2003-04-16,2003,40
one,2001-11-02,2001,25
beverly hills cop iii,1994-05-25,1994,16
saving silverman,2001-02-09,2001,22
behaving badly,2014-08-01,2014,18
original sin,2001-08-03,2001,33
all the right moves,1983-10-21,1983,62
love dont cost a thing,2003-12-12,2003,37
pumpkin,2002-06-28,2002,46
nobel son,2008-12-05,2008,28
love ranch,2010-06-30,2010,37
rumor of angels,2002-02-01,2002,35
st elmos fire,1985-06-28,1985,35
cam2cam,2014-08-22,2014,28
stay,2005-10-21,2005,41
lethal weapon 4,1998-07-10,1998,37
america imagine a world without her,2014-07-02,2014,15
joe dirt,2001-04-11,2001,20
see no evil,2006-05-19,2006,17
mexican,2001-03-02,2001,43
pokemon 3 the movie,2001-04-06,2001,22
stage fright,2014-05-09,2014,39
big trouble,2002-04-05,2002,47
against all odds,1984-03-02,1984,42
woman on top,2000-09-22,2000,41
swing kids,1993-03-05,1993,39
novocaine,2001-11-16,2001,45
just visiting,2001-04-06,2001,38
how to deal,2003-07-18,2003,45
film geek,2006-01-13,2006,35
psycho beach party,2000-08-04,2000,42
haunting of sharon tate,2019-04-05,2019,8
fireflies in the garden,2011-10-14,2011,34
take,2008-07-18,2008,22
carpool,1996-08-23,1996,15
specials,2000-09-22,2000,38
jingle all the way,1996-11-22,1996,34
phantasm ii,1988-07-08,1988,42
hitcher,1986-02-21,1986,32
